Time, Tie_Power, L1, L2, L3, L4, Pess, P1, P2, P3, P4
3207.5, 1527.1400146484375, 1106.550537109375, 1106.2545166015625, 1107.0240478515625, 1105.192138671875, 1919.9327392578125, 1443.1280517578125, 1153.8316650390625, 967.948974609375, 581.6839599609375
3207.75, 1511.46875, 1106.5523681640625, 1106.287841796875, 1107.0745849609375, 1105.2127685546875, 1918.3734130859375, 1440.640380859375, 1151.779541015625, 961.9630126953125, 578.2868041992188
3208.0, 1504.2877197265625, 1106.5350341796875, 1106.247314453125, 1107.0517578125, 1105.2222900390625, 1917.43505859375, 1439.404296875, 1151.090087890625, 960.2296752929688, 574.438232421875
3208.25, 1510.7362060546875, 1106.5032958984375, 1106.2418212890625, 1107.030029296875, 1105.203857421875, 1916.875732421875, 1438.5853271484375, 1149.9652099609375, 959.1554565429688, 575.689208984375
3208.5, 1517.848876953125, 1106.5048828125, 1106.2508544921875, 1107.030029296875, 1105.1588134765625, 1919.4200439453125, 1440.201416015625, 1151.150146484375, 960.5337524414062, 575.7567138671875
3208.75, 1510.0966796875, 1106.572265625, 1106.303466796875, 1107.040771484375, 1105.1773681640625, 1919.9405517578125, 1440.00927734375, 1152.3148193359375, 961.795654296875, 575.7820434570312
3209.0, 1507.3736572265625, 1106.5792236328125, 1106.3023681640625, 1107.0865478515625, 1105.2091064453125, 1918.4293212890625, 1440.1090087890625, 1151.1988525390625, 960.4103393554688, 577.328369140625
3209.25, 1510.8243408203125, 1106.5302734375, 1106.2510986328125, 1107.0565185546875, 1105.18701171875, 1920.6942138671875, 1440.863037109375, 1152.8095703125, 962.6760864257812, 577.904052734375
3209.5, 1503.2987060546875, 1106.5667724609375, 1106.2412109375, 1107.05615234375, 1105.2191162109375, 1918.179443359375, 1437.5059814453125, 1150.955078125, 961.0296630859375, 574.9158325195312
3209.75, 1510.183349609375, 1106.5599365234375, 1106.2598876953125, 1107.0357666015625, 1105.1817626953125, 1919.817138671875, 1440.9105224609375, 1152.77294921875, 962.5767211914062, 577.2056884765625
3210.0, 1507.2640380859375, 1106.530029296875, 1106.2113037109375, 1106.9940185546875, 1105.184814453125, 1917.573486328125, 1436.9578857421875, 1149.9256591796875, 960.3532104492188, 575.1180419921875
